concept,layer,direction,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
afraid,7,top,fY, instrument, kind,‍♂️,"}}\,",",&",nell, vice, Kind, contractName,68.7435,68.1155,67.9985,67.3730,66.3689,65.9697,65.5861,65.4834,65.2514,65.1420
afraid,7,bottom,からは,这个问题, Akan, bulunan,끼,により,拍,จะมี,Another,จะไม่,-68.3634,-67.1975,-65.8039,-65.6031,-65.4458,-64.6121,-63.9985,-63.4842,-63.4413,-63.3968
afraid,8,top, 이때,seits, dates,そこで, leak,])*,而,-]),(;,សម្រាប់ការ,81.4200,76.9072,74.7586,74.7453,74.3152,73.9829,73.7119,72.4004,72.3529,71.8648
afraid,8,bottom, maravilh, permanence, troch, amorphous, paranoia, perman,रव, antennes, undivided, otomatis,-73.4087,-73.2057,-67.7734,-66.4781,-64.7246,-63.3095,-62.7857,-62.6325,-62.5224,-62.4972
afraid,9,top, chefs, Equipment, sortes, 그, }{,邪, gourmet, robbers, equipment,そもそも,96.3535,88.4840,86.1935,84.3866,83.6954,82.6450,81.9407,81.0909,80.6527,80.4767
afraid,9,bottom, silencio, quiet, quieter,pero, sentimento, tarda,تباط, unaffected, inmediata, provved,-71.9837,-71.7759,-71.7374,-71.1026,-69.8137,-69.5310,-69.0285,-68.5967,-68.5901,-68.3444
afraid,10,top, cre, kne,ៀប,gun,}}^{-,不等, imposed,卸, Rolle, twist,81.4463,79.7228,78.4592,76.3473,74.9205,73.5366,72.5807,71.6871,71.1478,69.6398
afraid,10,bottom, corrente, vacanam, corriente, vía, невозможно, wiad,hamento, sonhos,etry,ลม,-96.6379,-75.2162,-74.8976,-74.7137,-74.7005,-74.5228,-73.3145,-72.0234,-71.5047,-70.7537
afraid,11,top, expose,++;, enforce, incur,-${,expl, cryptocur, cast, ['$, cryptocurrency,66.0621,65.8989,64.6009,64.5532,64.3739,63.6335,63.6080,62.7721,61.3186,60.7939
afraid,11,bottom,からも, пожалуйста,の中でも,特に, besonders,ที่ดี,抜群,と思います, comunque, особенно,-85.1818,-83.8152,-81.6869,-79.7574,-78.2088,-75.9225,-75.6165,-75.3984,-74.6105,-74.1497
afraid,12,top,allow, allow,を展開,enough, pourra,evaluate,ensure,atsu, ito, validate,81.4470,78.6661,75.5518,70.4682,68.0878,67.9240,67.4832,65.3938,64.2986,64.1470
afraid,12,bottom,izer,hse,getToken, simpat,mnemonic,omics, imagination,事人,прия, magician,-85.0486,-72.7038,-69.7737,-69.4281,-68.6085,-68.5929,-68.3912,-66.6051,-66.3209,-65.9459
afraid,13,top,なお, 旧,တို့, つ,密, Old, 素,ရပ်,ipad,असल,71.6827,69.5927,67.9401,67.1266,66.1947,65.7256,64.9914,64.0717,63.7486,61.8046
afraid,13,bottom,说了,VideoCapture, extrapolate, versa, tưởng,ーリー, imaginations,ottie, forKey,Slider,-92.7082,-84.9829,-82.8143,-81.0932,-81.0021,-79.1558,-78.2442,-78.0804,-77.8267,-77.6231
afraid,14,top,pard, anch,の水, efter,ients,Votes, lét,rivia, hindsight,ibilit,85.2279,83.1565,81.6731,80.7267,79.4135,78.4156,78.3203,76.8486,76.7041,76.2528
afraid,14,bottom, gesamte, and,](,是将, نفسها, نفسه, gesamten, entire,정과,](#,-75.5878,-73.4675,-67.9442,-62.2691,-61.6079,-61.2642,-61.1120,-60.8090,-59.7243,-59.5255
afraid,15,top, responses,Response, Response, response,の声,iffness,応答, emergency, Respuesta, Responses,80.6142,78.5368,77.9814,76.4763,74.9865,74.7121,73.9046,70.3483,69.9593,69.5928
afraid,15,bottom,기와, eponymous,၃, nowadays,</thead>, sendo, одном, zapewn, двох, therewith,-99.9450,-88.7875,-86.5352,-85.6979,-82.7867,-82.7101,-81.2400,-81.0183,-80.4919,-80.2399
afraid,16,top, kịp,Response, urgent, responses, emergency, উদ্বাস্তুদের, Response,応答, abortion,вета,89.6151,88.0734,86.3609,86.0397,83.5163,83.4198,82.8917,81.8229,81.8161,81.8071
afraid,16,bottom, fascination, Enjoy, 즐,즐, amusing,Enjoy, enjoyment,ajah,面白, Happy,-102.6643,-101.3214,-97.4433,-96.1876,-94.0962,-93.3350,-93.3329,-91.3182,-90.9863,-90.5646
afraid,17,top, kịp, urgente,応答,Response, urgent,responsive, délais, urgency, responses,回應,141.1534,139.9024,135.7478,130.5992,128.4639,119.8197,119.4780,119.1188,118.9691,118.3454
afraid,17,bottom, adventurous, đánh,ajah, antiqu,ابقات, archaeological,즐, ancient, ancestor,面白,-119.4458,-118.5470,-116.0502,-115.7540,-114.9615,-113.5495,-112.8383,-111.7794,-110.7333,-110.1302
afraid,18,top,的气, emergency,的女, Cause, urgency, asap, symptoms, injunctive,emergency, জরুরি,94.0564,85.2868,82.1868,81.8543,81.6832,81.6253,81.1387,80.0305,79.5197,78.8154
afraid,18,bottom,<>(,etku,を作り, 올라,autom,ugal,ところ, look,같, dessus,-86.1808,-79.6016,-78.9579,-78.8564,-76.9769,-76.6971,-76.6118,-76.0652,-75.8889,-75.7361
afraid,19,top, responses, Remedies, interrupts,の声, berichten,回应, symptoms, voices, sintomas, remedies,132.2413,131.5231,129.0480,129.0461,127.6650,126.0044,122.3593,122.2931,121.8150,121.5660
afraid,19,bottom, cleverly, constructed, impressively, goof, conno, fantastic, ridiculously, discovered,🤩,ascin,-132.6376,-130.0715,-122.0249,-116.8772,-116.5429,-115.9591,-115.6084,-115.3576,-111.8836,-111.0264
afraid,20,top, Remedies,вета, kimi, bronchi, remedies,wakeup,ynes, Sleep, últimas, última,110.3694,99.2062,97.8427,96.4575,96.4378,94.3916,94.1814,93.9467,93.6984,93.4957
afraid,20,bottom, misunder, demonstrated, discovered, demonstration, introd, goog, impressively, combinatorial, introduced, stratigraphic,-111.0907,-107.1907,-107.1339,-105.4687,-105.0506,-102.8055,-102.6340,-102.6154,-101.0804,-100.9056
afraid,21,top,appelle, Remedies, starve,вета, Outcomes, bronchi,の声,ambat, nostrils, sintomas,101.1810,97.3988,96.4973,96.2278,95.2240,92.9022,91.9097,91.6060,91.2806,89.7019
afraid,21,bottom,多年的, demonstrated, cree, misunder, seems, surprising, constructed,であることが, بالای,umuz,-90.3815,-89.7225,-88.8459,-88.7894,-87.5588,-86.7445,-84.9008,-83.4687,-83.2970,-82.5282
afraid,22,top, symptômes,の声, sintomas, subside, nostrils, síntomas, Remedies,ambat, rescuers, powod,95.9060,94.3924,92.5662,88.8618,88.5164,86.5878,86.1590,82.4395,82.3483,80.7170
afraid,22,bottom, fantastic, clever, wonderful,良好的, built, superb, excellent,不错的, super, demonstrated,-104.2881,-101.7566,-100.3201,-98.5403,-97.6749,-96.6044,-93.2726,-91.8126,-91.7484,-91.5031
afraid,23,top, both, impede, Both, hinder, abyss, dringend, Communicate, troughs, Тя, voices,84.8207,75.9282,74.2757,73.0810,72.2984,71.5117,70.8018,70.7124,70.2813,69.3266
afraid,23,bottom,好的, enjoyable, clever,較,赏, enjoyed,良好的, handy, piaci, enjoying,-107.8468,-106.5807,-101.2998,-99.5523,-97.0200,-95.2617,-94.3979,-94.2896,-94.0838,-93.6235
afraid,24,top, violently, uncontroll, akibat, verhindern, helplessly, vítimas, treacherous, خوف,stricken, paralys,122.3860,107.8436,104.1620,101.9466,101.9090,100.0813,95.4359,95.3131,95.1789,94.0983
afraid,24,bottom, appreciative, enjoyed, appreciated, enjoys, nice, mellow, enjoying, enjoyable, apreci, appreciation,-111.5120,-111.2666,-109.5028,-109.1644,-105.9916,-104.7091,-104.6342,-103.9654,-103.0677,-102.2470
afraid,25,top, violently, uncontroll, vítimas, আতঙ্ক, akibat, terrified, helplessly, خوف, बचें, unbearable,136.9771,117.9014,113.7674,113.6244,108.2559,107.6221,107.4312,107.0798,106.8768,106.2026
afraid,25,bottom, enjoyed, enjoys, enjoying, appreciative, enjoyment, serendip, appreciation, amiable, mellow, enjoy,-126.0465,-119.8167,-118.4142,-114.7843,-111.3515,-105.5948,-105.5545,-105.4866,-105.3099,-103.7575
afraid,26,top, violently, uncontroll,stricken, akibat, helplessly, fearful, আতঙ্ক, unresponsive, involuntarily, terrified,126.5574,116.7849,107.7797,100.7067,100.2234,98.0120,96.2498,96.0945,95.9870,94.1859
afraid,26,bottom, enjoys, enjoying, mellow, enjoyed, nice, nicely, liberal, enjoy, enjoyment, enjoyable,-115.1488,-114.7942,-112.6572,-108.7853,-105.5908,-103.0176,-102.9213,-102.8118,-101.6145,-99.8524
afraid,27,top, violently, uncontroll,stricken, akibat, chão, verhindern, meus, خوف, আতঙ্ক, мою,109.4135,106.6104,96.6601,91.7553,89.4772,88.4336,88.4019,88.1107,87.3694,86.7910
afraid,27,bottom, whimsical, enjoying, mellow, enjoys, amiable, appreciative, liberal, enjoyed, tasteful, appreciating,-110.5904,-109.5306,-107.8656,-107.3113,-104.8453,-102.5467,-100.8497,-100.4004,-98.3476,-97.9505
afraid,28,top, violently, uncontroll, terrified, fearful, verhindern, assaulted, خوف, vítimas, panicked,恐惧,122.0729,108.6249,105.2266,102.5017,100.3012,99.0135,98.8057,96.7682,96.1963,95.4775
afraid,28,bottom, mellow, enjoyed, nice, tasteful, enjoying, enjoys, enjoy, enjoyable, enjoyment, appreciative,-116.9927,-116.4230,-110.9626,-110.0686,-107.7587,-105.8305,-104.9799,-104.3807,-100.4551,-100.2729
afraid,29,top, violently, involuntarily, uncontroll, trembling, خوف, terrified, vítimas,😨, assaulted, paralys,102.3524,101.3536,98.2702,94.5947,94.5582,94.1829,91.1252,90.5331,90.2177,90.0470
afraid,29,bottom, humorous, mellow, witty, whimsical, tasteful, nice, commissioned," """, elegant, charming,-97.1938,-96.4744,-95.9415,-95.1585,-93.4954,-92.6373,-92.4341,-91.6282,-90.4588,-89.1793
afraid,30,top, violently, terrified, trembling, involuntarily, خوف, fearful, uncontroll, screams,恐惧,😰,99.7707,97.2487,96.3518,95.7790,94.8448,92.5592,91.2028,90.1213,90.0778,89.2972
afraid,30,bottom, humorous, witty, whimsical, mellow, commissioned, 😊,"""", enjoyed, nice, charming,-95.2746,-95.1889,-93.8364,-92.0306,-88.9951,-88.9498,-88.6490,-88.6065,-88.3074,-87.1101
afraid,31,top, violently, terrified, خوف, involuntarily, uncontroll,😨, trembling,😰, paralyzed,恐惧,98.2072,93.3703,90.4617,88.9857,87.9731,87.6392,87.6124,86.8599,86.5248,85.9013
afraid,31,bottom, witty, humorous, mellow, tasteful, commissioned, elegance, whimsical, 😉,"""", 😊,-94.5058,-94.1783,-93.3158,-91.3433,-90.1878,-89.9859,-89.3283,-89.0013,-88.9087,-88.7388
afraid,32,top, terrified, violently, خوف, paralyzed, involuntarily, paralys, fearful, akibat, frightened,😨,95.7825,94.4941,89.9410,89.8184,89.5820,89.0581,87.3656,86.1801,85.9181,85.6055
afraid,32,bottom, commissioned, fanfare, 😊,".""", richness, 😉,"""", whimsical, mellow, enriching,-89.3470,-86.9261,-86.1685,-85.1986,-85.0123,-84.4024,-84.3519,-83.8641,-83.8102,-83.7624
afraid,33,top, terrified, claust, frantically, violently, paralyzed, خوف, paraly, frightened, paralys, involuntarily,103.0278,101.2152,99.4349,98.9751,94.7000,94.6910,91.7862,89.9256,89.8459,87.7136
afraid,33,bottom, 😊, 😉,"""", generosity, richness, tasteful,".""", mellow, enjoyed," """,-95.8884,-94.8767,-93.7789,-89.6884,-88.5468,-86.9722,-86.8569,-86.4214,-86.1262,-85.5413
afraid,34,top, nightmares, vítimas, threats, victims, threaten, victimes, deaths, warnings, tremors, violently,131.1053,122.8619,118.4022,111.4037,107.9123,105.4715,104.4241,104.1882,104.0189,102.3449
afraid,34,bottom, enjoys, enjoying, enjoyed, appreciation, 😊, enjoyment, appreciating, tasteful, conno, Flair,-143.3225,-130.8142,-124.3751,-118.9444,-118.2502,-116.3838,-116.1446,-115.1307,-114.5964,-113.9528
alarmed,0,top,我知道,elsch, المتحدة,知的, banded, لی, เก,一段, assassin,档,61.8806,60.2419,60.0774,58.3226,58.2726,57.2503,56.9297,56.8299,56.8230,56.2866
alarmed,0,bottom,気,ovies,ください,r,ều,Ses, wind,Share,ের,회,-77.9015,-71.0527,-67.6453,-66.8028,-65.1718,-63.8033,-63.1497,-63.0868,-61.8753,-61.8238
alarmed,1,top,zec,TEL, キ, හ,гне, incompet, asshole, 끼, РАН,ны,75.0778,68.9701,68.2731,62.4674,61.8175,61.2002,61.1478,60.8950,60.8527,60.4451
alarmed,1,bottom,lenen,li,的最佳, sj,last,лежа, Maia, wra, encuesta,ንያ,-64.2095,-61.0564,-60.2462,-58.8492,-57.6936,-56.7845,-55.9814,-55.9720,-54.7101,-54.2777
alarmed,2,top,)(-, aran,atiche,VAT, disapp,삿, puch, Loh, Caring, munch,69.4887,69.2406,67.3283,65.6930,65.6900,64.6366,64.5391,62.7699,62.7151,62.4317
alarmed,2,bottom,是将, light, rights, round,oe,લાઇ,্লাই, wear,민국, min,-67.5729,-65.8391,-62.1884,-61.7406,-59.5207,-59.0800,-58.6248,-58.2841,-56.9882,-56.9681
alarmed,3,top,しろ,렴,มะ,をと,rame,ぼ,ító,Solid, सके, foodservice,78.7715,73.3528,67.8812,67.5175,66.9442,66.4577,63.7331,63.7135,63.3630,62.6435
alarmed,3,bottom,存, adj,adj,tsk,动, dol, benim, USDT,orso,unde,-64.7019,-62.8125,-61.3070,-57.7273,-56.5223,-56.4636,-56.0936,-56.0172,-56.0035,-55.9240
alarmed,4,top, birbirinden,glomer, بشر, birbir, اصلی, Feed, кок, pharmacist,"]"".",katan,85.3922,75.7976,74.5886,72.5044,71.3081,70.8224,70.1258,69.0537,68.9328,68.9317
alarmed,4,bottom,存,rem,至今,ans,)//,veni,anso, Whyte,好的,Rem,-83.5959,-67.4564,-67.1718,-58.4960,-55.2566,-53.8588,-53.5668,-53.3577,-53.2907,-53.2219
alarmed,5,top,rivel, clutter, physicians, conno," ""'", ks,dle,]^, Iw,Rp,81.1268,72.9589,68.4246,67.1590,64.7759,64.5514,63.9117,63.7251,63.4848,63.3881
alarmed,5,bottom,rem, знай,avr,至今, næ,Rem,存,endl,生き,让他们,-77.9497,-70.0856,-68.4151,-67.1619,-62.6289,-60.8962,-60.8133,-60.4124,-59.8483,-58.7477
alarmed,6,top, خودش, talaga, Mic,시험, bedo, Guy, forefront, convention,"""]).",<_,71.1707,68.9164,68.1050,65.8931,65.8223,65.2564,65.0727,64.2184,63.4141,63.2678
alarmed,6,bottom,tain,avr,至今,存,rem, dziś,vdots,"’,", להי, Gerr,-76.3263,-70.4003,-69.5697,-67.4647,-64.0272,-62.7949,-62.4026,-60.7569,-60.1055,-58.7822
alarmed,7,top,<_,ilte,"(""<","}}\,","""^", '^,ccia,석,"""<"," ""=""",76.4193,71.1727,70.9897,70.4617,70.3505,69.6655,69.2923,66.8180,66.7257,65.6004
alarmed,7,bottom,avr,Will,apunov,Ain, arası,により, ait,今天的,imiya, EDITION,-68.8148,-68.2037,-66.0263,-63.3596,-62.5406,-61.5350,-60.9995,-60.7099,-60.0629,-58.6726
alarmed,8,top, egli, jemand, 项,seits,那样, invece,事が,者が,点が, landlords,83.3335,81.9856,79.9220,79.6950,78.0291,72.6397,72.1679,71.7425,71.1603,70.2712
alarmed,8,bottom, troph,anoia,orphous,raphy,至今, amorphous,auty, kissing, troch,Ethics,-73.3628,-68.9307,-66.4995,-66.4383,-65.9544,-65.8841,-65.8567,-64.8050,-64.2895,-63.3882
alarmed,9,top, &=&,ี่ยม, पनि, również,esseract, esso, လ, त्य,fungen,"(""&",95.1168,88.8857,86.3700,86.0839,82.5765,81.4697,80.9714,80.1717,79.0350,78.8284
alarmed,9,bottom, tonight,Tonight, candlelight,silent, Tonight, quieter,sleeping, mood, warmest, nocturnal,-94.0057,-80.9705,-76.9349,-75.5155,-75.2511,-74.3601,-72.0688,-70.7153,-70.5678,-70.4943
alarmed,10,top, likewise,ന്,""">&", crou, abgest, yog,Conversely, ||=,兒, scoff,84.3373,82.4861,79.2934,79.1040,78.4013,77.4224,76.0928,75.4870,74.5198,73.7938
alarmed,10,bottom,inuation,rain, pouco,cine,cita, vía,zada, surat, rainy,ULATION,-80.0072,-78.8960,-70.3710,-69.9826,-69.0232,-65.8360,-65.4175,-63.4515,-61.5368,-60.9239
alarmed,11,top,rą,ulemon,뎌,constr, ||=,ံ့,इ,}}}=,inya,لز,80.3403,76.7495,75.9117,75.0400,73.3431,72.8334,72.3057,72.1278,71.8416,71.7729
alarmed,11,bottom,最好, пожалуйста, الغير, pouco, novel,のですが,做一个,问题的,したいと思います, nowadays,-69.3540,-69.0824,-59.1428,-57.8737,-56.8245,-56.7655,-56.7511,-56.1257,-56.1007,-56.0509
alarmed,12,top, pourrez,gli,rà,}_{, sehingga,FP, ausz,nds, FP,足以,78.2541,76.9527,76.7810,70.9044,70.3280,69.8977,69.6210,69.5735,68.8054,68.5946
alarmed,12,bottom, sus,ंबई,eker,obic, chow, سوز,ometric,心的,etet,ccak,-78.3141,-62.9591,-62.0825,-61.1637,-60.9578,-60.9499,-60.3328,-60.3132,-60.0903,-59.9698
alarmed,13,top,上也,同时也, alike, também, fellow,지와,တို့, stessi,ისა,也是,81.4417,80.9719,80.8154,79.5912,77.7194,77.1798,76.8981,75.7336,74.7589,73.2970
alarmed,13,bottom,を変更, extrapolate,を選択,を指定, extensible, extrapolated, nodeList, restructured, grafo,化した,-86.3385,-83.7419,-82.1420,-81.7470,-80.5505,-80.3285,-76.9281,-76.7122,-75.3128,-74.9717
alarmed,14,top, القاعد, Respond,の声,ที่คุณ,hiyan, basal, đảo, respond, hear, Response,84.5214,79.9359,77.2480,73.6728,73.4892,73.1084,73.0812,72.5207,72.4484,72.0542
alarmed,14,bottom,:^(, chín,iconductor, bagged,捆, folders,<th>,Vector,枚,แท,-69.0984,-67.8164,-64.7939,-61.2950,-59.4607,-59.2914,-59.0884,-58.9279,-58.3468,-57.4796
alarmed,15,top,の声, ユ,PRES,parks,persist,샵, galaxies, 透,ล์, nghiệp,73.7715,71.8938,71.0935,70.4720,69.1744,68.9053,68.4209,66.8129,65.2159,64.1567
alarmed,15,bottom,<bos>,率为, fortunately, Luckily,iegend,数为,==(,]/(,ildo,也有,-87.4476,-86.2413,-86.0222,-76.5406,-76.4203,-76.0523,-75.8412,-73.6996,-73.1665,-73.0152
alarmed,16,top,ıs,บาล, życia,óa,ฉัน,กลับ,င့်,iorum,parks,Park,75.4560,70.7193,69.0089,67.4701,66.8091,66.6388,66.2713,63.0415,62.9436,62.5889
alarmed,16,bottom,率为,>:, superstition, congrat,thank, There, двох,typename, Thank,EventType,-82.9715,-77.7445,-77.6131,-77.5681,-76.8551,-74.9890,-74.5511,-74.0179,-73.4509,-72.1526
alarmed,17,top, urgente, lành, urgent, kịp,responsive,応答, délais,పడుతుంది, đẩy,improve,89.7012,89.3518,86.0729,85.5350,83.9998,83.6215,83.4100,82.7318,82.5987,81.5648
alarmed,17,bottom,수인,즐,ようで, sewn, antiqu,typename,бав, 재미, tattooed,ogn,-85.4557,-78.8918,-78.4161,-78.0743,-74.4476,-73.6663,-73.6601,-73.3783,-72.1727,-71.8467
alarmed,18,top, Naturally,するため,larımız, Viva, Baku, trama,Really,Naturally,Viva,americana,75.1896,69.6421,69.3299,68.5099,67.7583,67.4356,67.3179,67.0284,66.3719,66.3033
alarmed,18,bottom, llegando, shave,지난, quarrel, apport, adding,geon, dou,に対し, têm,-79.0074,-71.0243,-70.6457,-69.2807,-68.2533,-67.6280,-67.0447,-67.0191,-66.7430,-66.3583
alarmed,19,top, ligands, inhibitors, péri, หน, priorities, berichten, backups, locales,报道, melawan,105.9678,102.8296,102.6420,102.1597,101.8890,95.8139,92.4093,91.3594,89.1386,89.0784
alarmed,19,bottom, highScore, intuitive, constructed, kolay, easy,ৃষ্ট, painted, wonderful, Jurassic, scrumptious,-97.3264,-90.6979,-90.6418,-88.6459,-87.5078,-87.1680,-86.5300,-86.2060,-83.6821,-83.5461
alarmed,20,top, alternatives, péri, wenn,的方向, หน, ligands, cuándo, Alternatives, warnings, antagonists,92.9998,88.0434,87.1712,86.5772,84.6341,83.9867,83.1375,82.8740,82.6825,81.4975
alarmed,20,bottom, 완성, resemblance, perfectly, انشاء, highScore,诞生, developed, pleasure, COMPLET,]++;,-88.1957,-86.8588,-83.4386,-81.4390,-81.3617,-80.4237,-80.4056,-80.3605,-79.8586,-79.5945
alarmed,21,top,itals, backups,กลับ, cuándo, alternatives, texts, nostrils,logs, financials, términos,80.5040,80.4496,79.1824,78.6647,78.3829,75.4152,74.4899,73.7325,73.5856,73.4374
alarmed,21,bottom, 완성, insures,ることができます, born, joy,పాద, بلکہ, rarity,の一, fullname,-87.0058,-85.2112,-83.7281,-83.7107,-82.0252,-81.8835,-81.0904,-79.5534,-79.3910,-78.5441
alarmed,22,top,กลับ, titers, nostrils, outliers,去找, symptoms, antagonists, reacts, escalate, reag,79.2283,72.8335,72.0529,71.8834,70.8710,69.5190,69.0958,69.0820,68.8950,68.6578
alarmed,22,bottom, wonderful, effortless, delightful, удоволь, harmonious, delicious, joyous, beautiful, fantastic, pleasure,-101.2150,-97.7428,-95.4724,-94.8072,-92.4609,-90.9130,-89.3509,-88.7076,-88.6857,-88.4157
alarmed,23,top,!!!,؟!,!!, principaux, primarily,?!, mainly,[++, severely,严重,99.6752,91.6754,90.8257,88.3177,87.4601,85.4513,84.9171,82.9290,81.5702,81.0138
alarmed,23,bottom, comfortable, sentirse, pleasant, passende, effortless, enthusiastic,适当, joyous, 자신의, tasteful,-100.0876,-94.7559,-88.9169,-87.7507,-87.2121,-83.6640,-83.1277,-82.2292,-81.7343,-81.5422
alarmed,24,top, violently, dangerously, peor, alarming, মারাত্মক,threatening, 제가, threatening,惨, pior,109.9344,103.4100,103.0773,99.6101,99.4081,98.6199,96.8839,94.7294,93.8085,91.1930
alarmed,24,bottom, disfrut, disfruta, enjoyed, joyful, enjoyment, menikmati, effortless, disfrutar, enjoyable, enjoy,-129.1518,-128.3086,-121.1626,-115.4360,-115.2280,-115.1069,-114.8101,-114.5493,-113.9187,-113.6907
alarmed,25,top, violently, panicked, frantically, alarming,threatening, মারাত্মক, dangerously, frighten, threatening, horribly,127.7095,116.0122,114.5014,113.9879,111.0485,106.7898,106.3343,105.9563,104.0464,101.4766
alarmed,25,bottom, enjoyment, enjoyed, contentment, disfrut, enjoying, joyful, enjoyable, effortless, harmonious, amiable,-123.1711,-122.8265,-120.3112,-117.5874,-115.0520,-113.5758,-113.0412,-112.6161,-112.3017,-110.6803
alarmed,26,top, 제가, violently,我, 我, 我的,我的, meus, minhas, my,的我,116.9031,109.6898,105.4961,104.2281,103.8174,103.8123,103.4904,102.4666,99.7840,98.8936
alarmed,26,bottom, effortless, contentment, joyful, blissful, gracious, mellow, enjoyment, enjoyable, savor, disfruta,-126.9860,-126.0321,-122.1542,-115.6317,-115.1218,-113.7601,-112.8926,-112.4079,-112.2578,-111.6676
alarmed,27,top, 我的,我的, 제가, мои, my, minhas, meus, violently, 我,我,124.8305,121.8283,119.3240,115.0550,114.4779,112.8758,111.7675,110.0694,106.9589,103.9798
alarmed,27,bottom, effortless, joyful, contentment, blissful, disfruta, gracious, enjoyable, delightful, graceful, restful,-133.1780,-123.6219,-120.2448,-116.7245,-115.3417,-114.0363,-113.3050,-111.2488,-111.1293,-109.4881
alarmed,28,top, violently, 我的,我的,!!!, peor, alarming, мои, panicked, frantically, assaulted,122.4361,117.6100,109.6391,107.0593,105.6981,105.6003,103.4846,102.7727,102.6054,100.1462
alarmed,28,bottom, contentment, nostalgia, mellow, nostalgic, enjoyed, effortless, enjoyable, enjoyment, enjoy, joyful,-122.7294,-121.3046,-120.0174,-118.1424,-114.5613,-112.9169,-111.0029,-108.3788,-107.4465,-105.9381
alarmed,29,top, violently, 我的, frantically,我的, panicked, threatening,😱,私の, мой, threatens,123.9854,112.7249,111.6591,95.1459,93.2441,92.3186,91.9551,91.4669,90.9800,90.9491
alarmed,29,bottom, savor, cherished, mellow, contentment, joy, grace,cher, effortless, richness, hưởng,-107.3472,-100.1248,-94.6435,-93.7832,-86.8463,-86.8282,-85.9868,-85.5413,-85.4586,-83.9607
alarmed,30,top, violently, 我的, frantically, threatens,😱, horribly, terrified, threatening, panicked,我的,126.6308,113.3241,112.6029,98.6092,96.1869,96.1218,95.7079,94.8419,94.7694,94.1708
alarmed,30,bottom, savor, mellow, cherished, contentment, grace, richness, joy, effortless, gentle, alegria,-107.7498,-95.5418,-94.4439,-93.0844,-89.7460,-89.6458,-87.6015,-83.7948,-83.4833,-83.1701
